PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3021,Computer and Information Systems Managers,detailed,"13,830",3.5,2.390,0.95,72.98,"151,790",1.2,41.64,54.21,69.40,86.14,#,"86,610","112,760","144,350","179,170",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3031,Financial Managers,detailed,"26,540",4.1,4.590,1.19,73.53,"152,940",1.3,35.86,46.88,65.56,90.51,#,"74,580","97,500","136,370","188,250",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3051,Industrial Production Managers,detailed,"7,540",3.4,1.303,1.09,52.73,"109,680",1.8,26.34,33.88,46.72,63.46,85.03,"54,790","70,460","97,170","131,990","176,860",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3061,Purchasing Managers,detailed,"3,420",5.2,0.591,1.16,56.92,"118,400",4.1,23.42,36.59,53.10,72.71,92.28,"48,720","76,100","110,450","151,250","191,940",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"6,520",5.3,1.127,1.40,47.81,"99,440",2.5,25.50,32.50,43.10,56.86,75.71,"53,040","67,600","89,650","118,260","157,480",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3111,Compensation and Benefits Managers,detailed,520,7.3,0.090,0.83,70.44,"146,500",2.9,37.01,49.00,68.40,85.64,#,"76,970","101,920","142,280","178,130",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3121,Human Resources Managers,detailed,"5,690",4.3,0.984,1.06,63.63,"132,350",4.0,31.59,42.06,58.14,76.15,#,"65,700","87,480","120,930","158,390",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3131,Training and Development Managers,detailed,"1,180",6.6,0.204,0.87,56.55,"117,620",2.6,28.23,39.43,54.70,66.58,85.43,"58,710","82,020","113,770","138,480","177,690",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,40,43.6,0.008,0.24,38.98,"81,070",7.0,26.60,31.81,35.58,39.40,58.78,"55,320","66,170","74,010","81,960","122,260",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9021,Construction Managers,detailed,"11,140",5.7,1.926,1.08,48.39,"100,640",2.6,25.18,33.21,43.96,61.14,78.47,"52,380","69,080","91,440","127,180","163,230",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"2,080",6.7,0.359,1.04,26.78,"55,700",3.3,17.44,19.94,23.14,29.91,41.43,"36,280","41,470","48,130","62,210","86,180",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"5,820",4.8,1.007,0.58,*,"115,680",1.3,*,*,*,*,*,"78,700","102,290","117,750","132,420","153,520",TRUE,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9033,"Education Administrators, Postsecondary",detailed,"5,490",8.9,0.949,0.96,60.70,"126,250",3.1,32.14,41.29,54.80,72.29,96.11,"66,860","85,880","113,980","150,350","199,910",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9039,"Education Administrators, All Other",detailed,"1,400",11.1,0.241,0.99,41.54,"86,400",4.5,22.30,27.10,37.15,51.36,71.00,"46,380","56,360","77,270","106,840","147,680",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9041,Architectural and Engineering Managers,detailed,"8,910",4.7,1.541,1.21,74.90,"155,790",2.1,43.12,56.46,71.67,89.58,#,"89,700","117,440","149,070","186,330",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9051,Food Service Managers,detailed,"12,860",5.3,2.223,1.55,24.56,"51,080",2.7,11.92,16.25,22.10,30.37,39.15,"24,790","33,790","45,970","63,170","81,440",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9081,Lodging Managers,detailed,"1,230",6.1,0.213,0.84,28.69,"59,680",3.8,14.67,18.03,27.10,34.44,41.67,"30,510","37,510","56,360","71,630","86,680",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9111,Medical and Health Services Managers,detailed,"12,280",6.2,2.123,0.90,53.10,"110,450",2.5,24.65,34.87,51.10,65.09,80.49,"51,270","72,540","106,300","135,390","167,420",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9121,Natural Sciences Managers,detailed,**,**,**,**,58.26,"121,180",7.4,22.38,30.04,54.73,76.66,98.12,"46,560","62,470","113,830","159,460","204,100",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9131,Postmasters and Mail Superintendents,detailed,110,0.0,0.019,0.18,41.75,"86,850",2.3,33.53,36.68,40.61,45.22,51.90,"69,740","76,290","84,460","94,060","107,950",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"12,020",5.4,2.079,1.62,32.29,"67,150",2.8,13.36,19.56,27.52,40.43,54.45,"27,790","40,680","57,230","84,100","113,250",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9151,Social and Community Service Managers,detailed,"5,430",5.0,0.939,1.04,38.85,"80,800",3.7,21.10,26.89,34.16,45.80,62.69,"43,880","55,940","71,060","95,270","130,390",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9161,Emergency Management Directors,detailed,160,9.0,0.027,0.40,58.83,"122,370",3.4,35.28,42.88,55.59,70.51,84.43,"73,380","89,190","115,630","146,650","175,600",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9199,"Managers, All Other",detailed,"15,660",3.0,2.707,0.94,63.09,"131,230",1.3,33.08,43.91,57.82,76.11,97.81,"68,810","91,340","120,260","158,310","203,440",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-0000,Business and Financial Operations Occupations,major,"352,020",1.3,60.864,1.17,38.77,"80,630",0.7,18.67,25.41,34.59,46.82,61.48,"38,840","52,850","71,950","97,380","127,870",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"4,570",19.5,0.790,8.24,44.29,"92,130",8.4,11.67,17.14,31.97,52.71,#,"24,280","35,650","66,510","109,630",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1021,"Buyers and Purchasing Agents, Farm Products",detailed,250,16.7,0.043,0.53,31.40,"65,310",4.5,18.18,23.36,28.92,37.52,49.35,"37,810","48,590","60,160","78,040","102,660",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,"8,220",10.9,1.421,1.82,29.50,"61,350",4.9,13.37,17.31,23.70,34.56,48.78,"27,820","36,010","49,300","71,870","101,450",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"12,790",3.0,2.212,1.04,34.47,"71,690",1.5,19.34,25.09,32.55,42.18,52.26,"40,240","52,180","67,710","87,730","108,690",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"11,380",8.0,1.968,1.01,34.76,"72,310",1.7,21.06,26.39,33.90,40.66,49.50,"43,800","54,900","70,500","84,570","102,960",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1032,"Insurance Appraisers, Auto Damage",detailed,920,25.4,0.160,1.48,29.06,"60,450",3.0,19.71,22.95,28.14,34.97,41.46,"41,010","47,730","58,540","72,730","86,230",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1041,Compliance Officers,detailed,"12,480",3.4,2.157,1.11,37.81,"78,640",2.0,22.30,28.24,38.11,44.57,52.88,"46,380","58,750","79,280","92,710","109,990",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1051,Cost Estimators,detailed,"8,170",5.1,1.413,0.92,33.39,"69,460",2.1,16.99,23.71,30.82,42.38,51.12,"35,340","49,310","64,110","88,140","106,330",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1071,Human Resources Specialists,detailed,"21,290",4.1,3.681,0.98,35.46,"73,760",2.1,18.61,23.79,31.21,42.19,56.70,"38,710","49,490","64,910","87,750","117,940",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1075,Labor Relations Specialists,detailed,"3,560",11.3,0.615,1.09,39.62,"82,410",5.5,16.08,23.01,42.10,52.00,62.59,"33,440","47,860","87,560","108,170","130,180",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1081,Logisticians,detailed,"6,320",5.9,1.092,1.05,40.61,"84,460",1.4,25.16,30.68,39.71,49.71,59.58,"52,330","63,820","82,590","103,390","123,920",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1111,Management Analysts,detailed,"32,400",4.2,5.601,1.23,46.25,"96,200",2.1,24.52,31.72,41.72,54.66,73.98,"51,000","65,970","86,780","113,700","153,870",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1121,"Meeting, Convention, and Event Planners",detailed,"5,370",7.3,0.929,1.36,25.11,"52,240",3.6,11.79,16.77,22.87,32.07,39.91,"24,530","34,890","47,570","66,700","83,010",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1131,Fundraisers,detailed,"2,120",9.0,0.366,0.75,33.24,"69,140",2.1,18.42,24.37,32.14,39.73,48.92,"38,320","50,680","66,850","82,640","101,760",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"2,890",6.9,0.500,0.89,36.53,"75,980",2.7,21.69,27.27,34.63,43.92,55.74,"45,110","56,720","72,020","91,360","115,950",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1151,Training and Development Specialists,detailed,"9,200",5.5,1.591,0.83,31.76,"66,050",1.9,16.11,20.20,29.75,41.08,49.54,"33,500","42,010","61,880","85,450","103,030",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1161,Market Research Analysts and Marketing Specialists,detailed,"34,750",3.8,6.008,1.51,34.57,"71,900",1.4,16.31,21.71,30.14,42.84,59.97,"33,920","45,160","62,690","89,110","124,730",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1199,"Business Operations Specialists, All Other",detailed,"49,150",2.4,8.498,1.24,37.58,"78,170",1.4,18.73,25.50,34.56,46.96,59.37,"38,960","53,030","71,890","97,690","123,490",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2011,Accountants and Auditors,detailed,"60,960",3.9,10.540,1.19,39.24,"81,620",1.5,20.97,27.05,34.98,46.45,61.29,"43,630","56,260","72,750","96,620","127,490",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2021,Appraisers and Assessors of Real Estate,detailed,"1,590",10.7,0.276,0.64,40.21,"83,640",2.8,23.69,29.70,40.22,48.41,58.11,"49,270","61,770","83,660","100,700","120,870",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2031,Budget Analysts,detailed,"2,600",10.8,0.450,1.16,44.61,"92,790",1.6,27.51,34.69,43.76,53.78,64.04,"57,220","72,160","91,020","111,860","133,200",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2041,Credit Analysts,detailed,"3,490",7.0,0.604,1.16,43.24,"89,930",3.7,21.12,27.76,36.16,50.53,72.88,"43,930","57,740","75,220","105,090","151,600",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2051,Financial Analysts,detailed,"11,820",4.4,2.043,1.02,46.78,"97,300",1.5,26.35,32.72,41.75,54.42,72.92,"54,800","68,070","86,830","113,200","151,670",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2052,Personal Financial Advisors,detailed,"10,180",7.4,1.760,1.22,65.25,"135,730",4.7,21.80,30.45,46.53,92.13,#,"45,340","63,340","96,770","191,630",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2053,Insurance Underwriters,detailed,"3,190",11.4,0.552,0.85,38.94,"80,990",4.7,18.77,25.43,34.51,48.43,63.23,"39,040","52,890","71,780","100,740","131,520",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2061,Financial Examiners,detailed,"1,800",7.5,0.311,0.88,48.04,"99,930",4.1,27.24,34.85,44.46,58.46,75.22,"56,660","72,490","92,480","121,590","156,460",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2071,Credit Counselors,detailed,"1,600",12.4,0.276,1.14,25.93,"53,930",4.1,15.87,18.93,23.78,28.77,38.48,"33,010","39,380","49,470","59,840","80,030",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2072,Loan Officers,detailed,"17,470",8.3,3.020,1.39,39.87,"82,930",3.0,15.96,23.54,33.30,48.87,68.56,"33,200","48,970","69,270","101,640","142,600",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"1,640",0.7,0.284,0.68,38.76,"80,610",1.5,23.37,29.27,36.96,49.55,55.90,"48,600","60,870","76,870","103,060","116,270",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2082,Tax Preparers,detailed,"4,620",14.5,0.798,1.60,27.29,"56,770",5.7,11.36,16.08,23.52,36.08,50.04,"23,620","33,450","48,920","75,040","104,070",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2099,"Financial Specialists, All Other",detailed,"5,230",7.2,0.905,1.03,39.22,"81,590",2.9,21.96,27.01,34.55,47.08,61.91,"45,690","56,180","71,870","97,930","128,780",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-0000,Computer and Mathematical Occupations,major,"161,410",2.6,27.908,0.94,44.39,"92,330",0.8,20.89,29.64,42.65,57.34,71.71,"43,460","61,660","88,710","119,270","149,160",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1111,Computer and Information Research Scientists,detailed,"1,100",34.5,0.190,1.01,56.10,"116,680",4.7,28.43,41.79,53.53,69.76,86.00,"59,140","86,920","111,340","145,090","178,890",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1121,Computer Systems Analysts,detailed,"19,850",5.9,3.433,0.85,45.09,"93,800",1.3,24.52,33.31,44.15,56.49,67.88,"51,010","69,280","91,830","117,500","141,200",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1122,Information Security Analysts,detailed,"2,650",6.7,0.459,0.66,50.12,"104,250",1.5,29.33,39.79,49.64,60.25,73.79,"61,010","82,760","103,240","125,330","153,480",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1131,Computer Programmers,detailed,"11,560",8.0,1.998,1.03,41.69,"86,710",1.7,21.89,31.36,40.37,51.85,62.74,"45,530","65,230","83,960","107,850","130,510",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1132,"Software Developers, Applications",detailed,"26,840",5.0,4.640,0.82,53.78,"111,870",1.1,31.55,41.47,52.91,63.67,77.69,"65,630","86,250","110,060","132,440","161,590",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1133,"Software Developers, Systems Software",detailed,"21,780",7.3,3.765,1.29,57.04,"118,650",1.9,32.24,42.91,56.38,70.90,82.30,"67,050","89,260","117,270","147,460","171,180",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1134,Web Developers,detailed,"8,660",6.7,1.497,1.62,36.42,"75,750",2.0,17.74,22.59,32.41,46.79,61.85,"36,900","46,980","67,410","97,330","128,650",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1141,Database Administrators,detailed,"4,110",4.9,0.711,0.88,44.33,"92,200",1.7,22.40,29.49,44.56,57.63,68.29,"46,590","61,340","92,690","119,870","142,050",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1142,Network and Computer Systems Administrators,detailed,"14,780",3.7,2.556,0.95,42.88,"89,200",1.2,22.45,31.39,42.01,54.20,64.81,"46,690","65,290","87,370","112,740","134,810",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1143,Computer Network Architects,detailed,"4,630",9.6,0.800,0.72,55.09,"114,580",1.9,30.62,41.23,55.08,69.00,78.58,"63,690","85,770","114,570","143,520","163,450",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1151,Computer User Support Specialists,detailed,"23,170",4.6,4.007,0.93,27.75,"57,720",1.2,15.08,19.92,26.53,34.81,43.31,"31,360","41,440","55,190","72,400","90,080",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1152,Computer Network Support Specialists,detailed,"6,170",7.7,1.066,0.79,35.54,"73,920",1.8,19.38,25.36,33.45,43.04,56.56,"40,310","52,740","69,580","89,520","117,650",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1199,"Computer Occupations, All Other",detailed,"9,750",6.7,1.687,0.91,40.26,"83,740",1.8,18.23,24.64,37.81,53.45,66.04,"37,920","51,260","78,640","111,180","137,370",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-2011,Actuaries,detailed,720,17.8,0.125,0.88,52.60,"109,410",2.3,30.96,39.78,49.09,65.48,77.30,"64,400","82,740","102,110","136,210","160,770",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-2021,Mathematicians,detailed,140,7.8,0.025,1.27,42.91,"89,250",9.7,24.61,27.76,45.28,57.94,62.81,"51,180","57,750","94,180","120,510","130,650",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-2031,Operations Research Analysts,detailed,"4,350",8.1,0.751,0.97,40.69,"84,640",1.7,22.22,29.18,39.94,49.85,61.83,"46,220","60,700","83,070","103,680","128,610",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-2041,Statisticians,detailed,"1,060",10.2,0.183,0.77,38.27,"79,600",2.9,21.52,27.95,36.89,47.01,57.48,"44,760","58,140","76,720","97,790","119,550",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-2099,"Mathematical Science Occupations, All Other",detailed,80,10.9,0.014,0.96,*,*,*,*,*,*,*,*,*,*,*,*,*,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-0000,Architecture and Engineering Occupations,major,"100,720",2.5,17.414,0.98,45.96,"95,590",1.3,23.95,31.82,43.20,58.19,74.02,"49,820","66,190","89,850","121,040","153,960",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-1011,"Architects, Except Landscape and Naval",detailed,"5,530",10.9,0.955,1.34,43.93,"91,370",5.0,24.55,30.09,39.03,50.12,67.31,"51,060","62,580","81,180","104,260","140,000",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-1012,Landscape Architects,detailed,"1,170",27.2,0.203,1.46,37.13,"77,220",6.0,24.83,27.84,33.89,46.25,56.89,"51,640","57,900","70,500","96,200","118,330",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-1021,Cartographers and Photogrammetrists,detailed,530,19.8,0.092,1.06,39.39,"81,930",2.8,27.85,33.56,39.13,46.19,53.60,"57,930","69,810","81,390","96,080","111,490",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-1022,Surveyors,detailed,"1,110",12.6,0.192,0.62,41.62,"86,570",3.3,23.68,34.79,43.08,48.52,56.82,"49,250","72,350","89,600","100,910","118,180",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2011,Aerospace Engineers,detailed,"5,010",10.3,0.866,1.78,60.54,"125,920",3.2,36.23,45.88,60.00,74.56,87.81,"75,350","95,440","124,800","155,080","182,640",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2021,Agricultural Engineers,detailed,**,**,**,**,39.69,"82,560",10.5,31.24,33.33,36.80,45.77,56.36,"64,980","69,330","76,540","95,210","117,230",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2031,Biomedical Engineers,detailed,"1,260",16.5,0.218,1.49,43.85,"91,210",4.4,22.11,29.65,41.28,55.10,64.52,"45,980","61,660","85,860","114,610","134,200",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2041,Chemical Engineers,detailed,550,18.5,0.094,0.41,45.54,"94,730",4.0,24.36,29.57,41.48,60.58,74.46,"50,660","61,500","86,280","126,000","154,880",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2051,Civil Engineers,detailed,"10,740",5.2,1.857,0.91,51.60,"107,330",1.8,30.94,39.71,52.01,61.27,74.08,"64,350","82,590","108,190","127,440","154,080",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2061,Computer Hardware Engineers,detailed,"3,480",24.4,0.601,1.16,65.01,"135,220",3.0,38.39,49.38,63.05,78.48,95.54,"79,850","102,700","131,140","163,240","198,730",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2071,Electrical Engineers,detailed,"7,420",6.3,1.283,0.98,52.78,"109,790",2.5,31.58,38.01,51.66,67.13,78.33,"65,680","79,060","107,460","139,640","162,920",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2072,"Electronics Engineers, Except Computer",detailed,"8,310",7.7,1.436,1.53,53.33,"110,940",2.3,30.40,37.76,50.17,68.39,81.52,"63,220","78,530","104,360","142,250","169,550",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2081,Environmental Engineers,detailed,"1,980",11.2,0.342,0.92,54.12,"112,570",2.3,36.18,43.85,52.01,61.27,76.63,"75,250","91,210","108,190","127,440","159,400",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,"1,090",11.3,0.189,1.04,49.85,"103,680",1.9,33.79,41.58,51.28,57.78,63.85,"70,290","86,480","106,660","120,180","132,810",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2112,Industrial Engineers,detailed,"9,860",4.5,1.704,0.93,49.87,"103,720",2.5,29.38,36.69,47.10,60.16,76.23,"61,120","76,310","97,960","125,120","158,560",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2121,Marine Engineers and Naval Architects,detailed,60,44.5,0.011,0.19,*,*,*,*,*,*,*,*,*,*,*,*,*,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2131,Materials Engineers,detailed,990,10.0,0.171,0.89,51.05,"106,180",3.5,28.52,37.32,50.44,64.52,76.59,"59,310","77,620","104,920","134,200","159,310",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2141,Mechanical Engineers,detailed,"9,000",7.2,1.556,0.76,48.55,"100,980",1.7,27.76,34.87,46.52,61.22,74.92,"57,730","72,530","96,770","127,340","155,840",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,110,32.5,0.020,0.39,59.50,"123,760",5.1,36.67,52.01,61.20,63.93,88.92,"76,270","108,180","127,290","132,970","184,940",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2171,Petroleum Engineers,detailed,630,35.8,0.109,0.47,66.12,"137,540",7.8,43.24,50.87,59.44,73.81,95.93,"89,950","105,810","123,640","153,530","199,530",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2199,"Engineers, All Other",detailed,"4,580",7.3,0.792,0.90,50.31,"104,640",2.2,27.90,37.31,50.19,62.17,74.73,"58,030","77,610","104,390","129,300","155,440",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3011,Architectural and Civil Drafters,detailed,"5,580",11.1,0.964,1.40,29.42,"61,190",3.0,17.64,22.53,28.70,36.04,43.09,"36,680","46,860","59,700","74,960","89,630",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3012,Electrical and Electronics Drafters,detailed,"2,080",49.1,0.360,1.89,31.05,"64,580",4.3,19.59,24.08,30.91,37.22,43.72,"40,750","50,090","64,300","77,420","90,940",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3013,Mechanical Drafters,detailed,"1,440",7.3,0.249,0.55,28.51,"59,290",2.0,17.16,21.29,26.70,34.86,43.18,"35,690","44,290","55,540","72,510","89,810",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3019,"Drafters, All Other",detailed,410,10.4,0.070,0.64,29.10,"60,520",5.6,16.85,20.74,26.48,36.35,46.68,"35,060","43,140","55,080","75,620","97,090",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3021,Aerospace Engineering and Operations Technicians,detailed,830,28.8,0.144,1.68,33.59,"69,870",2.4,23.53,28.44,33.98,38.25,44.20,"48,940","59,150","70,670","79,550","91,930",,
